year,mileage_km,fuel_type,price_pln,brand,model,power,gearbox,drive,fuel_consumption_outside_city,fuel_consumption_in_city,body_type,color,country_of_origin,accident_free,condition
2009,232923.0,Diesel,10900.0,Audi,A3,140.0,Manualna,Front,4.0,7.0,Kompakt,Czarny,Polska,Nie,Używane
2018,104000.0,Benzyna,55900.0,Audi,A1,95.0,Automatyczna,Front,3.0,5.0,Kompakt,Biały,Polska,Tak,Używane
2008,195797.0,Diesel,23900.0,Audi,A3,140.0,Manualna,Front,4.947841306884481,10.7,Kompakt,Czarny,Polska,Tak,Używane
2016,84000.0,Benzyna,69900.0,Audi,A5,224.0,Automatyczna,Front,4.947841306884481,8.0,Coupe,Niebieski,Stany Zjednoczone,Nie,Używane
2023,,Benzyna,556155.0,Audi,SQ8,507.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,SUV,Biały,Polska,Tak,Nowe
2024,1.0,Benzyna,191400.0,Audi,A4,204.0,Automatyczna,Front,4.0,7.0,Sedan,Szary,Polska,Tak,Nowe
2008,271000.0,Diesel,49999.0,Audi,Q7,326.0,Automatyczna,4X4,8.0,14.0,SUV,Szary,Francja,Nie,Używane
2022,8500.0,Benzyna,535050.0,Audi,RS Q8,600.0,Automatyczna,4X4,9.0,17.0,SUV,Czarny,Polska,Tak,Używane
2018,178080.0,Diesel,150333.0,Audi,Q7,218.0,Automatyczna,4X4,5.0,6.0,SUV,Biały,Polska,Tak,Używane
2004,290000.0,Diesel,16500.0,Audi,A3,140.0,Automatyczna,Front,4.947841306884481,7.473995451099318,Kompakt,Żółty,Polska,Nie,Używane
2018,124000.0,Diesel,260000.0,Audi,A8,286.0,Automatyczna,4X4,5.0,8.0,Sedan,Czarny,Polska,Tak,Używane
2012,199685.0,Diesel,65900.0,Audi,Q5,163.0,Automatyczna,4X4,4.947841306884481,4.0,SUV,Szary,Belgia,Tak,Używane
2011,164000.0,Diesel,57900.0,Audi,Q5,170.0,Automatyczna,4X4,5.0,8.0,SUV,Srebrny,Włochy,Tak,Używane
2002,330716.0,Benzyna,14777.0,Audi,A6,220.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,Sedan,Niebieski,Polska,Tak,Używane
2024,1.0,Benzyna,275700.0,Audi,Q5 Sportback,204.0,Automatyczna,4X4,7.0,9.0,SUV,Szary,Polska,Tak,Nowe
2002,330716.0,Benzyna,14777.0,Audi,A6,220.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,Sedan,Niebieski,Polska,Tak,Używane
2024,1.0,Benzyna,275700.0,Audi,Q5 Sportback,204.0,Automatyczna,4X4,7.0,9.0,SUV,Szary,Polska,Tak,Nowe
2018,52000.0,Diesel,110000.0,Audi,A5,190.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,Coupe,Czarny,Polska,Nie,Używane
2018,110980.0,Diesel,276000.0,Audi,A8,286.0,Automatyczna,4X4,5.0,8.0,Sedan,Inny kolor,Polska,Tak,Używane
2023,14699.0,Diesel,399900.0,Audi,Q7,286.0,Automatyczna,4X4,4.947841306884481,8.0,SUV,Biały,Niemcy,Tak,Używane
2024,1.0,Benzyna,126800.0,Audi,A3,110.0,Automatyczna,Front,4.947841306884481,7.473995451099318,Kompakt,Biały,Polska,Tak,Nowe
